Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.4697080208974726,0.7503703703703704,0.5079187766501778,0.7516666666666667
2,0.4801827553440543,0.7381481481481481,0.4582464851831135,0.7633333333333333
3,0.46070757315439337,0.762962962962963,0.4566980772896817,0.76
4,0.45897756814956664,0.7655555555555555,0.4834701363977633,0.7416666666666667
5,0.46494688566993264,0.7511111111111111,0.4515342853571239,0.7733333333333333
6,0.45785394696628345,0.7666666666666667,0.4558110629257403,0.7683333333333333
7,0.463991879715639,0.7622222222222222,0.4700328284188321,0.7533333333333333
8,0.4577387101509992,0.7644444444444445,0.4727360810104169,0.7633333333333333
9,0.45492760433870205,0.7703703703703704,0.4774094427886762,0.7616666666666667
10,0.4618836900767158,0.7611111111111111,0.4569890075608304,0.7733333333333333
11,0.4518092346542022,0.762962962962963,0.4611840232422477,0.7583333333333333
12,0.45449633948943197,0.7685185185185185,0.4548248115338777,0.7766666666666666
13,0.44967028901857486,0.7596296296296297,0.4612059452031788,0.7716666666666666
14,0.45542720100458933,0.7648148148148148,0.46708337413637263,0.7666666666666667
15,0.44839669816634237,0.7718518518518519,0.4537183171824405,0.7583333333333333
16,0.45038928547326257,0.7711111111111111,0.45253448109877736,0.7683333333333333
17,0.4465613743838142,0.7718518518518519,0.44191677476230423,0.78
18,0.4416658703018637,0.78,0.44130636202661616,0.775
19,0.45270041577956255,0.7662962962962963,0.452463266096617,0.7866666666666666
20,0.44541580396540026,0.7774074074074074,0.4662885054161674,0.7666666666666667
21,0.4453022753491121,0.772962962962963,0.4441810611047243,0.7833333333333333
22,0.44146099300945507,0.7811111111111111,0.45825455690685074,0.7866666666666666
23,0.4385407382951063,0.7788888888888889,0.4844003805988713,0.76
24,0.4396158576011658,0.7814814814814814,0.44142485135479975,0.7766666666666666
25,0.43037653179729685,0.7777777777777778,0.45342562857427093,0.7733333333333333
26,0.4340549574178808,0.7918518518518518,0.45356381410046626,0.7683333333333333
27,0.43357668326181525,0.7862962962962963,0.438914346067529,0.7833333333333333
28,0.4281393265022951,0.7874074074074074,0.4403926400761855,0.7783333333333333
29,0.4248627469820135,0.7903703703703704,0.4446764807952078,0.785
30,0.4253959098282982,0.7925925925925926,0.4503490611126548,0.7733333333333333
