Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.6941501421086929,0.5,0.6932002055017572,0.5
2,0.6933935382786919,0.5,0.6929337099978798,0.5
3,0.6931539647719439,0.5,0.6928440771604839,0.5
4,0.6930529931012321,0.5,0.6927774046596727,0.5
5,0.6929015832788804,0.5,0.6926975093389812,0.5
6,0.6928316915736479,0.5281481481481481,0.6926286691113522,0.5016666666666667
7,0.6926981918952044,0.5244444444444445,0.6924886640749479,0.5
8,0.6925084261333241,0.6229629629629629,0.6923396744226155,0.69
9,0.6923699161585639,0.5722222222222222,0.6921573814592863,0.695
10,0.6921135327395271,0.6422222222222222,0.6918746264357316,0.7083333333333334
11,0.6919157266616821,0.5796296296296296,0.6915055262415033,0.7066666666666667
12,0.6914431179271024,0.6951851851851852,0.6909981244488766,0.71
13,0.6908452847424675,0.6855555555555556,0.6902488752415306,0.6983333333333334
14,0.690079811741324,0.6592592592592592,0.6890512642107511,0.71
15,0.6885521895745221,0.6877777777777778,0.6869761849704542,0.6916666666666667
16,0.6856461742345025,0.6692592592592592,0.6832383024065118,0.695
17,0.6803179733893451,0.6940740740740741,0.6758330652588292,0.7116666666666667
18,0.67010679174872,0.7066666666666667,0.6603500121518185,0.7083333333333334
19,0.6443275164155399,0.697037037037037,0.616202363842412,0.7166666666666667
20,0.5833633282605339,0.7014814814814815,0.5523686738390672,0.7166666666666667
21,0.5475386444260092,0.7125925925925926,0.5437708575474588,0.7266666666666667
22,0.5390678935191211,0.7181481481481482,0.5361584722995758,0.72
23,0.535128653049469,0.7137037037037037,0.5319790259787911,0.7216666666666667
24,0.5324003398418427,0.7181481481481482,0.5277725960078993,0.7233333333333334
25,0.5209139189299415,0.72,0.5243440835099471,0.735
26,0.5276930493466995,0.7188888888888889,0.5277563804074338,0.7216666666666667
27,0.5243442847448236,0.725925925925926,0.5190448949211522,0.7333333333333333
28,0.5177691775209764,0.7281481481481481,0.5089965211717706,0.7416666666666667
29,0.5115542527507333,0.7318518518518519,0.5109156087825173,0.73
30,0.5062070902656106,0.7288888888888889,0.504993819876721,0.7416666666666667
31,0.5064398989957921,0.7318518518518519,0.4988351652496739,0.735
32,0.5034790480838103,0.7344444444444445,0.525949953418029,0.7316666666666667
33,0.5029345273971557,0.7388888888888889,0.49459646563780935,0.74
34,0.49466630991767435,0.7433333333333333,0.4854842926326551,0.7466666666666667
35,0.49231838934561784,0.7429629629629629,0.48881298146749796,0.74
36,0.494211690566119,0.7392592592592593,0.48315539956092834,0.7416666666666667
37,0.48997733803356397,0.7514814814814815,0.4886640184804013,0.7433333333333333
38,0.4855584519750932,0.7414814814814815,0.4863711626906144,0.7516666666666667
39,0.48045312832383547,0.7503703703703704,0.48233628429864583,0.76
40,0.48089926698628593,0.7533333333333333,0.48601594096735906,0.7433333333333333
41,0.48219669180757857,0.7496296296296296,0.5004274703954396,0.7416666666666667
42,0.4754196005709031,0.7533333333333333,0.47290523585520294,0.7366666666666667
43,0.4764545622993918,0.7592592592592593,0.47506015865426315,0.74
44,0.4807439078302944,0.7525925925925926,0.47396740003636006,0.745
45,0.48194953133078183,0.7451851851851852,0.4950897725004899,0.7616666666666667
46,0.47499556927119985,0.7514814814814815,0.5004071342317682,0.7316666666666667
47,0.46879129024112925,0.7559259259259259,0.4618939569121913,0.7516666666666667
48,0.463134509675643,0.7603703703703704,0.472091323450992,0.755
49,0.4680765488568474,0.7570370370370371,0.4901933858269139,0.7383333333333333
50,0.46892665764864755,0.7533333333333333,0.4672226576428664,0.7566666666666667
51,0.45816377401351926,0.7603703703703704,0.4571550551213716,0.7733333333333333
52,0.46197410208337447,0.7611111111111111,0.4590895913149181,0.7466666666666667
53,0.4695951777345994,0.7507407407407407,0.4755774830517016,0.7733333333333333
54,0.45644532705054564,0.7622222222222222,0.49331772641131755,0.7533333333333333
55,0.45354513245470385,0.7688888888888888,0.4528380318691856,0.7683333333333333
56,0.44635473384576685,0.7677777777777778,0.4649020731449127,0.7733333333333333
57,0.44896311356740837,0.77,0.46666512363835383,0.7583333333333333
58,0.4501418857013478,0.7625925925925926,0.4565912234155755,0.7583333333333333
59,0.4464130117612727,0.7659259259259259,0.4650458756246065,0.7466666666666667
60,0.44335216985029335,0.762962962962963,0.4587203577945107,0.78
61,0.4484103925087873,0.7774074074074074,0.4546732071198915,0.7566666666666667
62,0.44375368567074047,0.7770370370370371,0.44806994262494537,0.775
63,0.43638076747165006,0.7822222222222223,0.46157145343328776,0.7783333333333333
64,0.43960949673372157,0.7803703703703704,0.4568544030189514,0.7716666666666666
65,0.4430502309518702,0.7748148148148148,0.45328706032351446,0.7866666666666666
66,0.43727193387115704,0.7803703703703704,0.4603240599757747,0.7633333333333333
67,0.4380485660889569,0.7855555555555556,0.44657264728295176,0.79
68,0.4333944706355824,0.7744444444444445,0.46425408281778036,0.775
69,0.4296357554547927,0.7825925925925926,0.45498196545400116,0.7683333333333333
70,0.42952620474731223,0.7862962962962963,0.4546622712361185,0.775
71,0.43637796149534336,0.7814814814814814,0.4744115385570024,0.7633333333333333
72,0.43050632441745085,0.7788888888888889,0.4611112647934964,0.78
73,0.4238058570553275,0.7859259259259259,0.43921729294877304,0.79
